vdw_corr,stacking,disregistry,d,energy
dft-d3,Mid,0.5,3.36,-154.8849512378928
dft-d3,Mid,0.5,3.37,-154.88516620783113
dft-d3,Mid,0.5,3.38,-154.88536444276795
dft-d3,Mid,0.5,3.39,-154.88555509253132
dft-d3,Mid,0.5,3.4,-154.88574370144082
dft-d3,Mid,0.5,3.41,-154.88592394284956
dft-d3,Mid,0.5,3.42,-154.886102517561
dft-d3,Mid,0.5,3.43,-154.88627258871475
dft-d3,Mid,0.5,3.44,-154.88642711536505
dft-d3,Mid,0.5,3.45,-154.88656691385341
dft-d3,Mid,0.5,3.46,-154.88669324270646
dft-d3,Mid,0.5,3.47,-154.88680644206636
dft-d3,Mid,0.5,3.48,-154.88690651193323
dft-d3,Mid,0.5,3.49,-154.88699280603666
dft-d3,Mid,0.5,3.5,-154.8870677734012
dft-d3,Mid,0.5,3.51,-154.8871428428085
dft-d3,Mid,0.5,3.52,-154.88721723193115
dft-d3,Mid,0.5,3.53,-154.88728998837072
dft-d3,Mid,0.5,3.54,-154.88736403735106
dft-d3,Mid,0.5,3.55,-154.88742975284487
dft-d3,Mid,0.5,3.56,-154.88748366540062
dft-d3,Mid,0.5,3.57,-154.88752662537405
dft-d3,Mid,0.5,3.58,-154.88755955114942
dft-d3,Mid,0.5,3.59,-154.8875825447694
dft-d3,Mid,0.5,3.6,-154.88759513003478
dft-d3,Mid,0.5,3.61,-154.88759720490285
dft-d3,Mid,0.5,3.62,-154.88759390552246
dft-d3,Mid,0.5,3.63,-154.88759513003478
dft-d3,Mid,0.5,3.64,-154.88759567426246
dft-d3,Mid,0.5,3.65,-154.8876002321694
dft-d3,Mid,0.5,3.66,-154.88760570846054
dft-d3,Mid,0.5,3.67,-154.8876034635213
dft-d3,Mid,0.5,3.68,-154.88759183065437
dft-d3,Mid,0.5,3.69,-154.88757189831517
dft-d3,Mid,0.5,3.7,-154.88754417671709
dft-d3,Mid,0.5,3.71,-154.8875085638175
dft-d3,Mid,0.5,3.72,-154.887464413346
dft-d3,Mid,0.5,3.73,-154.88741250762988
dft-d3,Mid,0.5,3.74,-154.88735968352952
dft-d3,Mid,0.5,3.75,-154.887313764318
dft-d3,Mid,0.5,3.76,-154.8872677430638
dft-d3,Mid,0.5,3.77,-154.88722832057036
