method,kT,stacking,disregistry,d,energy,energy_inf
KC-QMC,4.0,AB,0.0,6.09,-2.5330641538312193,-154.5893676485416
KC-QMC,4.0,AB,0.0,6.1,-2.5128276170871686,-154.5893676485416
KC-QMC,4.0,AB,0.0,6.11,-2.4928166788013186,-154.5893676485416
KC-QMC,4.0,AB,0.0,6.12,-2.4730293255415745,-154.5893676485416
KC-QMC,4.0,AB,0.0,6.13,-2.4534635682357475,-154.5893676485416
KC-QMC,4.0,AB,0.0,6.14,-2.4341174420551397,-154.5893676485416
KC-QMC,4.0,AB,0.0,6.15,-2.4149890061235055,-154.5893676485416
KC-QMC,4.0,AB,0.0,6.16,-2.3960763434297405,-154.5893676485416
KC-QMC,4.0,AB,0.0,6.17,-2.3773775602167007,-154.5893676485416
KC-QMC,4.0,AB,0.0,6.18,-2.358890786243137,-154.5893676485416
KC-QMC,4.0,AB,0.0,6.19,-2.3406141742307227,-154.5893676485416
KC-QMC,4.0,AB,0.0,6.2,-2.322545899776742,-154.5893676485416
KC-QMC,4.0,AB,0.0,6.21,-2.3046841609757394,-154.5893676485416
KC-QMC,4.0,AB,0.0,6.22,-2.287027178594144,-154.5893676485416
KC-QMC,4.0,AB,0.0,6.23,-2.26957319516805,-154.5893676485416
KC-QMC,4.0,AB,0.0,6.24,-2.252320475556189,-154.5893676485416
