stacking,disregistry,label,d,energy,energy_err,method
Mid,0.5,DFT-D3,3.69,-17.919928252667887,0,DFT-D3
Mid,0.5,DFT-D3,3.7,-17.892206654592883,0,DFT-D3
Mid,0.5,DFT-D3,3.71,-17.856593755015638,0,DFT-D3
Mid,0.5,DFT-D3,3.72,-17.812443283502944,0,DFT-D3
Mid,0.5,DFT-D3,3.73,-17.76053756737383,0,DFT-D3
Mid,0.5,DFT-D3,3.74,-17.707713467039866,0,DFT-D3
Mid,0.5,DFT-D3,3.75,-17.661794255516725,0,DFT-D3
Mid,0.5,DFT-D3,3.76,-17.61577300130739,0,DFT-D3
Mid,0.5,DFT-D3,3.77,-17.576350507879397,0,DFT-D3
Mid,0.5,DFT-D3,3.78,-17.53750625633984,0,DFT-D3
Mid,0.5,DFT-D3,3.79,-17.491144859814085,0,DFT-D3
Mid,0.5,DFT-D3,3.8,-17.43723230410251,0,DFT-D3
Mid,0.5,DFT-D3,4.0,-15.779888910823502,0,DFT-D3
Mid,0.5,DFT-D3,4.5,-10.644862537184963,0,DFT-D3
Mid,0.5,DFT-D3,5.0,-6.626795472897356,0,DFT-D3
Mid,0.5,DFT-D3,6.0,-2.7375403004989494,0,DFT-D3
Mid,0.5,DFT-D3,7.0,-1.5571104365226347,0,DFT-D3
AA,0.66667,DFT-D3,3.0,18.191381865734,0,DFT-D3
AA,0.66667,DFT-D3,3.2,-2.3108998042007443,0,DFT-D3
AA,0.66667,DFT-D3,3.21,-3.077070351835573,0,DFT-D3
AA,0.66667,DFT-D3,3.22,-3.8080361706379335,0,DFT-D3
AA,0.66667,DFT-D3,3.23,-4.5053279010462575,0,DFT-D3
AA,0.66667,DFT-D3,3.24,-5.169693856034428,0,DFT-D3
AA,0.66667,DFT-D3,3.25,-5.801304106833413,0,DFT-D3
AA,0.66667,DFT-D3,3.26,-6.400804923818214,0,DFT-D3
AA,0.66667,DFT-D3,3.27,-6.975815494603012,0,DFT-D3
AA,0.66667,DFT-D3,3.28,-7.536778188165044,0,DFT-D3
AA,0.66667,DFT-D3,3.29,-8.076788115518866,0,DFT-D3
AA,0.66667,DFT-D3,3.3,-8.603668549854774,0,DFT-D3
AA,0.66667,DFT-D3,3.31,-9.111909185739933,0,DFT-D3
AA,0.66667,DFT-D3,3.32,-9.593618721613893,0,DFT-D3
AA,0.66667,DFT-D3,3.33,-10.048695114790462,0,DFT-D3
AA,0.66667,DFT-D3,3.34,-10.478703019965906,0,DFT-D3
AA,0.66667,DFT-D3,3.35,-10.884764906630153,0,DFT-D3
AA,0.66667,DFT-D3,3.36,-11.267152888758574,0,DFT-D3
AA,0.66667,DFT-D3,3.37,-11.62556083817617,0,DFT-D3
AA,0.66667,DFT-D3,3.38,-11.96189355183742,0,DFT-D3
AA,0.66667,DFT-D3,3.39,-12.285879099712474,0,DFT-D3
AA,0.66667,DFT-D3,3.4,-12.603129829920363,0,DFT-D3
AA,0.66667,DFT-D3,3.41,-12.907999380113324,0,DFT-D3
AA,0.66667,DFT-D3,3.42,-13.20820898070815,0,DFT-D3
AA,0.66667,DFT-D3,3.43,-13.494234647107078,0,DFT-D3
AA,0.66667,DFT-D3,3.44,-13.760702130792197,0,DFT-D3
AA,0.66667,DFT-D3,3.45,-14.008053616824327,0,DFT-D3
AA,0.66667,DFT-D3,3.46,-14.237717702810187,0,DFT-D3
AA,0.66667,DFT-D3,3.47,-14.450136573868804,0,DFT-D3
AA,0.66667,DFT-D3,3.48,-14.644902059109882,0,DFT-D3
AA,0.66667,DFT-D3,3.49,-14.822592400567373,0,DFT-D3
AA,0.66667,DFT-D3,3.5,-14.9860307793424,0,DFT-D3
AA,0.66667,DFT-D3,3.51,-15.146577948471531,0,DFT-D3
AA,0.66667,DFT-D3,3.52,-15.30396179415402,0,DFT-D3
AA,0.66667,DFT-D3,3.53,-15.456413576350315,0,DFT-D3
AA,0.66667,DFT-D3,3.54,-15.608117045514518,0,DFT-D3
AA,0.66667,DFT-D3,3.55,-15.748459761583945,0,DFT-D3
AA,0.66667,DFT-D3,3.56,-15.874108329968294,0,DFT-D3
AA,0.66667,DFT-D3,3.57,-15.985640992643312,0,DFT-D3
AA,0.66667,DFT-D3,3.58,-16.084724446758628,0,DFT-D3
AA,0.66667,DFT-D3,3.59,-16.17142672094633,0,DFT-D3
AA,0.66667,DFT-D3,3.6,-16.244999502087012,0,DFT-D3
AA,0.66667,DFT-D3,3.61,-16.305442790151574,0,DFT-D3
AA,0.66667,DFT-D3,3.62,-16.35816484777024,0,DFT-D3
AA,0.66667,DFT-D3,3.63,-16.41442438546801,0,DFT-D3
AA,0.66667,DFT-D3,3.64,-16.468098841578467,0,DFT-D3
AA,0.66667,DFT-D3,3.65,-16.524222322332207,0,DFT-D3
AA,0.66667,DFT-D3,3.66,-16.580209746112814,0,DFT-D3
AA,0.66667,DFT-D3,3.67,-16.626367057237076,0,DFT-D3
AA,0.66667,DFT-D3,3.68,-16.66106157260947,0,DFT-D3
AA,0.66667,DFT-D3,3.69,-16.68643618875649,0,DFT-D3
AA,0.66667,DFT-D3,3.7,-16.701334421813954,0,DFT-D3
AA,0.66667,DFT-D3,3.71,-16.70657261335873,0,DFT-D3
AA,0.66667,DFT-D3,3.72,-16.70143646452925,0,DFT-D3
AA,0.66667,DFT-D3,3.73,-16.686572245700518,0,DFT-D3
AA,0.66667,DFT-D3,3.74,-16.670381471834844,0,DFT-D3
AA,0.66667,DFT-D3,3.75,-16.660143188375514,0,DFT-D3
AA,0.66667,DFT-D3,3.76,-16.64864637842402,0,DFT-D3
AA,0.66667,DFT-D3,3.77,-16.64385037185275,0,DFT-D3
AA,0.66667,DFT-D3,3.78,-16.637761824560585,0,DFT-D3
AA,0.66667,DFT-D3,3.79,-16.623033662646776,0,DFT-D3
AA,0.66667,DFT-D3,3.8,-16.599291729566175,0,DFT-D3
AA,0.66667,DFT-D3,4.0,-15.360595488338731,0,DFT-D3
AA,0.66667,DFT-D3,4.5,-10.578772886830848,0,DFT-D3
AA,0.66667,DFT-D3,5.0,-6.616523175238399,0,DFT-D3
AA,0.66667,DFT-D3,6.0,-2.734921204712009,0,DFT-D3
AA,0.66667,DFT-D3,7.0,-1.5553076822834555,0,DFT-D3
